recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790093568732,sala01,78,1790093568732,0,0,DESOCUPADO,0,28,55,120,0,0
1790093570739,sala01,79,1790093570738,1,0,DESOCUPADO,0,28,55,120,0,0
1790093572747,sala01,80,1790093572746,1,0,DESOCUPADO,0,28,55,120,0,0
1790093574754,sala01,81,1790093574754,0,0,DESOCUPADO,0,28,55,120,0,0
1790093576761,sala01,82,1790093576760,1,0,DESOCUPADO,0,28,55,120,0,0
1790093578769,sala01,83,1790093578768,1,0,DESOCUPADO,0,28,55,120,0,0
1790093580775,sala01,84,1790093580774,1,0,DESOCUPADO,0,28,55,120,0,0
1790093582782,sala01,85,1790093582781,1,0,DESOCUPADO,0,28,55,120,0,0
1790093584789,sala01,86,1790093584788,1,0,DESOCUPADO,0,28,55,120,0,0
1790093586795,sala01,87,1790093586794,1,0,DESOCUPADO,0,28,55,120,0,0
1790093588802,sala01,88,1790093588802,0,0,DESOCUPADO,0,28,55,120,0,0
1790093590809,sala01,89,1790093590808,1,0,DESOCUPADO,0,28,55,120,0,0
1790093592816,sala01,90,1790093592815,1,0,DESOCUPADO,0,28,55,120,0,0
1790093594823,sala01,91,1790093594822,1,0,DESOCUPADO,0,28,55,120,0,0
1790093596829,sala01,92,1790093596829,0,0,DESOCUPADO,0,28,55,120,0,0
1790093598836,sala01,93,1790093598836,0,0,DESOCUPADO,0,28,55,120,0,0
1790093600843,sala01,94,1790093600842,1,0,DESOCUPADO,0,28,55,120,0,0
1790093602848,sala01,95,1790093602847,1,0,DESOCUPADO,0,28,55,120,0,0
1790093604855,sala01,96,1790093604854,1,0,DESOCUPADO,0,28,55,120,0,0
1790093606860,sala01,97,1790093606860,0,0,DESOCUPADO,0,28,55,120,0,0
1790093608867,sala01,98,1790093608866,1,0,DESOCUPADO,0,28,55,120,0,0
1790093610871,sala01,99,1790093610870,1,0,DESOCUPADO,0,28,55,120,0,0
1790093612880,sala01,100,1790093612880,0,0,DESOCUPADO,0,28,55,120,0,0
1790093614886,sala01,101,1790093614885,1,0,DESOCUPADO,0,28,55,120,0,0
1790093616890,sala01,102,1790093616890,0,0,DESOCUPADO,0,28,55,120,0,0
1790093618896,sala01,103,1790093618895,1,0,DESOCUPADO,0,28,55,120,0,0
1790093620903,sala01,104,1790093620902,1,0,DESOCUPADO,0,28,55,120,0,0
1790093622910,sala01,105,1790093622910,0,0,DESOCUPADO,0,28,55,120,0,0
1790093624918,sala01,106,1790093624917,1,0,DESOCUPADO,0,28,55,120,0,0
1790093626925,sala01,107,1790093626924,1,0,DESOCUPADO,0,28,55,120,0,0
1790093628931,sala01,108,1790093628931,0,0,DESOCUPADO,0,28,55,120,0,0
1790093630938,sala01,109,1790093630937,1,0,DESOCUPADO,0,28,55,120,0,0
1790093632944,sala01,110,1790093632943,1,0,DESOCUPADO,0,28,55,120,0,0
1790093634950,sala01,111,1790093634949,1,0,DESOCUPADO,0,28,55,120,0,0
1790093636958,sala01,112,1790093636958,0,0,DESOCUPADO,0,28,55,120,0,0
1790093638965,sala01,113,1790093638965,0,0,DESOCUPADO,0,28,55,120,0,0
1790093640973,sala01,114,1790093640972,1,0,DESOCUPADO,0,28,55,120,0,0
1790093642977,sala01,115,1790093642976,1,0,DESOCUPADO,0,28,55,120,0,0
1790093644981,sala01,116,1790093644981,0,0,DESOCUPADO,0,28,55,120,0,0
1790093646987,sala01,117,1790093646986,1,0,DESOCUPADO,0,28,55,120,0,0
1790093648993,sala01,118,1790093648993,0,0,DESOCUPADO,0,28,55,120,0,0
1790093650999,sala01,119,1790093650998,1,0,DESOCUPADO,0,28,55,120,0,0
1790093653005,sala01,120,1790093653005,0,0,DESOCUPADO,0,28,55,120,0,0
1790093655012,sala01,121,1790093655011,1,0,DESOCUPADO,0,28,55,120,0,0
1790093657019,sala01,122,1790093657018,1,0,DESOCUPADO,0,28,55,120,0,0
1790093659024,sala01,123,1790093659022,2,0,DESOCUPADO,0,28,55,120,0,0
1790093661029,sala01,124,1790093661029,0,0,DESOCUPADO,0,28,55,120,0,0
1790093663034,sala01,125,1790093663033,1,0,DESOCUPADO,0,28,55,120,0,0
1790093665040,sala01,126,1790093665039,1,0,DESOCUPADO,0,28,55,120,0,0
1790093667048,sala01,127,1790093667047,1,0,DESOCUPADO,0,28,55,120,0,0
1790093669054,sala01,128,1790093669054,0,0,DESOCUPADO,0,28,55,120,0,0
