recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790175781776,sala01,74,1790175781775,1,0,DESOCUPADO,0,28,55,120,0,0
1790175783810,sala01,75,1790175783809,1,0,DESOCUPADO,0,28,55,120,0,0
1790175785835,sala01,76,1790175785834,1,0,DESOCUPADO,0,28,55,120,0,0
1790175787876,sala01,77,1790175787874,2,0,DESOCUPADO,0,28,55,120,0,0
1790175789911,sala01,78,1790175789911,0,0,DESOCUPADO,0,28,55,120,0,0
1790175791951,sala01,79,1790175791950,1,0,DESOCUPADO,0,28,55,120,0,0
1790175793987,sala01,80,1790175793986,1,0,DESOCUPADO,0,28,55,120,0,0
1790175796016,sala01,81,1790175796015,1,0,DESOCUPADO,0,28,55,120,0,0
1790175798052,sala01,82,1790175798051,1,0,DESOCUPADO,0,28,55,120,0,0
1790175800082,sala01,83,1790175800081,1,0,DESOCUPADO,0,28,55,120,0,0
1790175802116,sala01,84,1790175802115,1,0,DESOCUPADO,0,28,55,120,0,0
1790175804152,sala01,85,1790175804151,1,0,DESOCUPADO,0,28,55,120,0,0
1790175806182,sala01,86,1790175806181,1,0,DESOCUPADO,0,28,55,120,0,0
1790175808215,sala01,87,1790175808214,1,0,DESOCUPADO,0,28,55,120,0,0
1790175810250,sala01,88,1790175810248,2,0,DESOCUPADO,0,28,55,120,0,0
1790175812285,sala01,89,1790175812284,1,0,DESOCUPADO,0,28,55,120,0,0
1790175814313,sala01,90,1790175814312,1,0,DESOCUPADO,0,28,55,120,0,0
1790175816354,sala01,91,1790175816353,1,0,DESOCUPADO,0,28,55,120,0,0
1790175818386,sala01,92,1790175818385,1,0,DESOCUPADO,0,28,55,120,0,0
1790175820424,sala01,93,1790175820423,1,0,DESOCUPADO,0,28,55,120,0,0
1790175822459,sala01,94,1790175822458,1,0,DESOCUPADO,0,28,55,120,0,0
1790175824489,sala01,95,1790175824488,1,0,DESOCUPADO,0,28,55,120,0,0
1790175826525,sala01,96,1790175826523,2,0,DESOCUPADO,0,28,55,120,0,0
1790175828561,sala01,97,1790175828560,1,0,DESOCUPADO,0,28,55,120,0,0
1790175830595,sala01,98,1790175830594,1,0,DESOCUPADO,0,28,55,120,0,0
1790175832629,sala01,99,1790175832628,1,0,DESOCUPADO,0,28,55,120,0,0
1790175834662,sala01,100,1790175834660,2,0,DESOCUPADO,0,28,55,120,0,0
1790175836692,sala01,101,1790175836692,0,0,DESOCUPADO,0,28,55,120,0,0
1790175838733,sala01,102,1790175838732,1,0,DESOCUPADO,0,28,55,120,0,0
1790175840765,sala01,103,1790175840764,1,0,DESOCUPADO,0,28,55,120,0,0
1790175842797,sala01,104,1790175842797,0,0,DESOCUPADO,0,28,55,120,0,0
1790175844833,sala01,105,1790175844833,0,0,DESOCUPADO,0,28,55,120,0,0
1790175846872,sala01,106,1790175846870,2,0,DESOCUPADO,0,28,55,120,0,0
1790175848903,sala01,107,1790175848902,1,0,DESOCUPADO,0,28,55,120,0,0
1790175850940,sala01,108,1790175850936,4,0,DESOCUPADO,0,28,55,120,0,0
1790175852969,sala01,109,1790175852969,0,0,DESOCUPADO,0,28,55,120,0,0
1790175855007,sala01,110,1790175855006,1,0,DESOCUPADO,0,28,55,120,0,0
1790175857044,sala01,111,1790175857043,1,0,DESOCUPADO,0,28,55,120,0,0
1790175859080,sala01,112,1790175859079,1,0,DESOCUPADO,0,28,55,120,0,0
1790175861114,sala01,113,1790175861113,1,0,DESOCUPADO,0,28,55,120,0,0
1790175863156,sala01,114,1790175863154,2,0,DESOCUPADO,0,28,55,120,0,0
1790175865188,sala01,115,1790175865187,1,0,DESOCUPADO,0,28,55,120,0,0
1790175867221,sala01,116,1790175867220,1,0,DESOCUPADO,0,28,55,120,0,0
1790175869260,sala01,117,1790175869259,1,0,DESOCUPADO,0,28,55,120,0,0
1790175871295,sala01,118,1790175871294,1,0,DESOCUPADO,0,28,55,120,0,0
1790175873326,sala01,119,1790175873325,1,0,DESOCUPADO,0,28,55,120,0,0
1790175875359,sala01,120,1790175875358,1,0,DESOCUPADO,0,28,55,120,0,0
1790175877395,sala01,121,1790175877394,1,0,DESOCUPADO,0,28,55,120,0,0
1790175879417,sala01,122,1790175879417,0,0,DESOCUPADO,0,28,55,120,0,0
1790175881436,sala01,123,1790175881435,1,0,DESOCUPADO,0,28,55,120,0,0
1790175883454,sala01,124,1790175883453,1,0,DESOCUPADO,0,28,55,120,0,0
1790175885476,sala01,125,1790175885475,1,0,DESOCUPADO,0,28,55,120,0,0
1790175887496,sala01,126,1790175887495,1,0,DESOCUPADO,0,28,55,120,0,0
1790175889516,sala01,127,1790175889515,1,0,DESOCUPADO,0,28,55,120,0,0
1790175891534,sala01,128,1790175891533,1,0,DESOCUPADO,0,28,55,120,0,0
1790175893554,sala01,129,1790175893552,2,0,DESOCUPADO,0,28,55,120,0,0
1790175895572,sala01,130,1790175895571,1,0,DESOCUPADO,0,28,55,120,0,0
1790175897588,sala01,131,1790175897587,1,0,DESOCUPADO,0,28,55,120,0,0
1790175899605,sala01,132,1790175899604,1,0,DESOCUPADO,0,28,55,120,0,0
1790175901624,sala01,133,1790175901624,0,0,DESOCUPADO,0,28,55,120,0,0
1790175903645,sala01,134,1790175903645,0,0,DESOCUPADO,0,28,55,120,0,0
